"","diff.fit","low","high","study","treat","bilat_0","age","se"
"6390",-0.00713982149742276,-0.187141580482421,0.21919766492901,"Appelman","Antibiotics","Bilateral",9.79,-0.187141580482421
"6392",-0.0129380191952767,-0.147261635362741,0.179556805715159,"Appelman","Antibiotics","Unilateral",9.81,-0.147261635362741
"6394",-0.00698782421917685,-0.187656585906661,0.21975590632576,"Appelman","Antibiotics","Bilateral",9.83,-0.187656585906661
"6396",-0.0128385511013155,-0.147426173866692,0.180300752942065,"Appelman","Antibiotics","Unilateral",9.85,-0.147426173866692
"6398",-0.0068382633505692,-0.188175077491408,0.220308537553676,"Appelman","Antibiotics","Bilateral",9.87,-0.188175077491408
"6400",-0.0127396990957109,-0.147590555982563,0.181042697315125,"Appelman","Antibiotics","Unilateral",9.89,-0.147590555982563
"6402",-0.00669110600326888,-0.188697003626819,0.220855622942399,"Appelman","Antibiotics","Bilateral",9.91,-0.188697003626819
"6404",-0.0126414618410009,-0.147754784727178,0.181782647595055,"Appelman","Antibiotics","Unilateral",9.93,-0.147754784727178
"6406",-0.00654631964467751,-0.189222313595508,0.221397226336633,"Appelman","Antibiotics","Bilateral",9.95,-0.189222313595508
"6408",-0.0125438379532211,-0.147918863028671,0.182520612756819,"Appelman","Antibiotics","Unilateral",9.97,-0.147918863028671
"6410",-0.00640387209599989,-0.189750957563769,0.221933411091613,"Appelman","Antibiotics","Bilateral",9.99,-0.189750957563769
"6412",-0.0124468260030392,-0.148082793730817,0.183256601981751,"Appelman","Antibiotics","Unilateral",10.01,-0.148082793730817
"6414",-0.00626373153026391,-0.190282886573151,0.222464240069965,"Appelman","Antibiotics","Bilateral",10.03,-0.190282886573151
"6416",-0.0123504245168675,-0.148246579597341,0.183990624650292,"Appelman","Antibiotics","Unilateral",10.05,-0.148246579597341
"6418",-0.00612586647029743,-0.1908180525319,0.222989775638968,"Appelman","Antibiotics","Bilateral",10.07,-0.1908180525319
"6420",-0.0122546319779612,-0.148410223316726,0.184722690335355,"Appelman","Antibiotics","Unilateral",10.09,-0.148410223316726
"6422",-0.00599024578666455,-0.191356408207362,0.223510079669342,"Appelman","Antibiotics","Bilateral",10.11,-0.191356408207362
"6424",-0.0121594468274904,-0.148573727507008,0.185452808797043,"Appelman","Antibiotics","Unilateral",10.13,-0.148573727507008
"6426",-0.00585683869555811,-0.191897907216208,0.224025213533227,"Appelman","Antibiotics","Bilateral",10.15,-0.191897907216208
"6428",-0.0120648674656103,-0.1487370947185,0.186180989974445,"Appelman","Antibiotics","Unilateral",10.17,-0.1487370947185
"6430",-0.00572561475666749,-0.192442504014211,0.224535238100851,"Appelman","Antibiotics","Bilateral",10.19,-0.192442504014211
"6432",-0.0119708922525156,-0.148900327437399,0.186907243978439,"Appelman","Antibiotics","Unilateral",10.21,-0.148900327437399
"6434",-0.00559654387100808,-0.19299015388709,0.225040213738953,"Appelman","Antibiotics","Bilateral",10.23,-0.19299015388709
"6436",-0.0118775195094749,-0.149063428090676,0.187631581086344,"Appelman","Antibiotics","Unilateral",10.25,-0.149063428090676
"6438",-0.00546959627871539,-0.193540812943087,0.225540200311612,"Appelman","Antibiotics","Bilateral",10.27,-0.193540812943087
